,Water type,Membranes,CEM,AEM,Cell pairs,Membrane length(cm),Membrane width(cm),CEM_thickness,AEM_thickness,CEM areal resistance,r-1/c coef,AEM areal resistance,,Flow channel length(cm),Flow channel width(cm),Flow channel thickness(cm),Measured effective area (cm2),eff L coef,L_eff,W_eff,"Voltage, v","Current, A","Current density, mA/cm2",Water Recovery (%),flow rate (LPM),t_Na,t_Ca,t_Mg,Feed Na (mol/L),Feed K (mol/L),Feed Mg (mol/L),Feed Ca (mol/L),Dilute Na (mol/L),Dilute K (mol/L),Dilute Mg (mol/L),Dilute Ca (mol/L)
Number ID,wt,memb,cem,aem,cpn,Lmemb,Wmemb,Dcem,Daem,r_cem,k_cem,r_aem,k_aem,Lfl,Wfl,Dfl,Aeff,Lcof,Leff,Weff,Volt,Curr,CurrD,wr,fl,tNa,tCa,tMg,CfNa,CfK,CfMg,CfCa,CpNa,CpK,CpMg,CpCa
0,na,na,na,na,na,cm,cm,m,m,ohm m2,ohm mol m-1,ohm m2,ohm mol m-1,cm,cm,cm,cm,1,cm,cm,V ,A,mAcm-2,1,lmin-1,1,1,1,molL-1,molL-1,molL-1,molL-1,molL-1,molL-1,molL-1,molL-1
1,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,6,0.3,1.5,0.5,1,0.916366748,0.024207811,0.059425441,0.032043478,0.000487179,0.001833333,0.0004525,0.030760285,0.000458346,0.001791726,0.000435551
2,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,8,0.5,2.2,0.5,1,0.901356426,0.025934431,0.072709143,0.032043478,0.000487179,0.001833333,0.0004525,0.030152649,0.000450023,0.00175707,0.000425298
3,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,10,0.7,3.1,0.5,1,0.886453164,0.028522075,0.085024761,0.032043478,0.000487179,0.001833333,0.0004525,0.029161461,0.00042937,0.001695118,0.000406135
4,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,14,1.2,5.4,0.5,1,0.87124245,0.03043867,0.09831888,0.032043478,0.000487179,0.001833333,0.0004525,0.027505033,0.000397609,0.001577254,0.00037322
5,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,16,1.4,6.5,0.5,1,0.865939736,0.031557951,0.102502313,0.032043478,0.000487179,0.001833333,0.0004525,0.02725552,0.000390551,0.001549955,0.000365255
6,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,17.5,1.6,7.4,0.5,1,0.862964724,0.031897576,0.1051377,0.032043478,0.000487179,0.001833333,0.0004525,0.026817491,0.000385184,0.001514984,0.000355916
7,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,6,0.7,3,0.5,1,0.461054956,0.408575283,0.130369761,0.032173913,0.000487179,0.001875,0.00455,0.029719062,0.000575351,0.001527928,0.003462286
8,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,8,1,4.6,0.5,1,0.482134245,0.386119889,0.131745866,0.032173913,0.000487179,0.001875,0.00455,0.028766046,0.000561412,0.001409391,0.003185395
